股票代號,股票名稱
2363,矽統
2379,瑞昱
2388,威盛
2401,凌陽
2436,偉詮電
2454,聯發科
2458,義隆
3006,晶豪科
3014,聯陽
3034,聯詠
3035,智原
3041,揚智
3059,華晶科
3094,聯傑
3122,笙泉
3141,晶宏
3150,鈺寶-創
3169,亞信
3209,全科
3227,原相
3228,金麗科
3232,昱捷
3257,虹冠電
3259,鑫創
3268,海德威
3288,點晶
3438,類比科
3443,創意
3527,聚積
3529,力旺
3530,晶相光
3545,敦泰
3556,禾瑞亞
3588,通嘉
3592,瑞鼎
3661,世芯-KY
4919,新唐
4951,精拓科
4952,凌通
4961,天鈺
4966,譜瑞-KY
5236,凌陽創新
5269,祥碩
5272,笙科
5274,信驊
5299,杰力
5302,太欣
5351,鈺創
5468,凱鈺
5471,松翰
5487,通泰
6103,合邦
6104,創惟
6129,普誠
6130,上亞科技
6138,茂達
6202,盛群
6229,研通
6231,系微
6233,旺玖
6237,驊訊
6243,迅杰
6291,沛亨
6411,晶焱
6415,矽力*-KY
6423,億而得
6462,神盾
6474,華豫寧
6485,點序
6494,九齊
6526,達發
6531,愛普*
6533,晶心科
6568,宏觀
6643,M31
6679,鈺太
6684,安格
6693,廣閎科
6695,芯鼎
6708,天擎
6716,應廣
6719,力智
6720,久昌
6732,昇佳電子
6756,威鋒電子
6799,來頡
6907,雅特力-KY
6921,嘉雨思-創
6962,奕力-KY
6996,力領科技
7749,意騰-KY
7770,君曜
8016,矽創
8024,佑華
8040,九暘
8054,安國
8081,致新
8102,傑霖科技
8227,巨有科技
8299,群聯
