族群,細產業,檔名,細產業代碼,成分股數,來源網址
水泥,水泥,水泥_水泥.csv,C011010,14,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C011010
水泥,水泥製品,水泥_水泥製品.csv,C011011,3,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C011011
水泥,預拌混凝土,水泥_預拌混凝土.csv,C025012,8,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C025012
水泥,高爐水泥,水泥_高爐水泥.csv,C099192,6,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C099192
食品加工,速食麵,食品加工_速食麵.csv,C012011,3,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012011
食品加工,乳製品,食品加工_乳製品.csv,C012014,5,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012014
食品加工,調味品,食品加工_調味品.csv,C012015,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012015
食品加工,食品加工,食品加工_食品加工.csv,C012016,30,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012016
食品加工,罐頭業,食品加工_罐頭業.csv,C012017,3,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012017
食品加工,肉品加工,食品加工_肉品加工.csv,C012024,3,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012024
食品加工,農產品加工,食品加工_農產品加工.csv,C012029,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012029
食品加工,麵製品相關,食品加工_麵製品相關.csv,C012030,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012030
食品加工,水產品加工,食品加工_水產品加工.csv,C012031,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012031
食品加工,糖果製品,食品加工_糖果製品.csv,C012032,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012032
食品加工,保健食品,食品加工_保健食品.csv,C012033,6,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012033
食品加工,可可製品,食品加工_可可製品.csv,C012034,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012034
食品加工,穀類烘焙製品,食品加工_穀類烘焙製品.csv,C012035,5,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012035
食品加工,磨粉製品,食品加工_磨粉製品.csv,C012036,3,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012036
食品加工,調理食品,食品加工_調理食品.csv,C012038,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012038
食品加工,茶葉相關,食品加工_茶葉相關.csv,C012039,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012039
食品加工,寵物食品,食品加工_寵物食品.csv,C012040,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012040
食品加工,餅乾製品,食品加工_餅乾製品.csv,C012043,3,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012043
食品加工,食品添加劑,食品加工_食品添加劑.csv,C012044,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012044
食品加工,咖啡相關,食品加工_咖啡相關.csv,C012045,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012045
食品加工,冷凍麵團,食品加工_冷凍麵團.csv,C012046,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012046
大宗物資,製糖,大宗物資_製糖.csv,C012012,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012012
大宗物資,大宗物資,大宗物資_大宗物資.csv,C012020,11,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012020
大宗物資,麵粉,大宗物資_麵粉.csv,C012021,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012021
大宗物資,油脂,大宗物資_油脂.csv,C012022,6,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012022
大宗物資,製鹽業,大宗物資_製鹽業.csv,C017240,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C017240
飲料相關,非酒精飲料,飲料相關_非酒精飲料.csv,C012013,11,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012013
飲料相關,釀造酒,飲料相關_釀造酒.csv,C012019,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012019
飲料相關,啤酒,飲料相關_啤酒.csv,C012026,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012026
飲料相關,葡萄酒,飲料相關_葡萄酒.csv,C012027,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012027
飲料相關,白酒,飲料相關_白酒.csv,C012028,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012028
飲料相關,飲料相關,飲料相關_飲料相關.csv,C012041,12,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012041
飲料相關,蒸餾酒,飲料相關_蒸餾酒.csv,C012042,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C012042
塑化原料,PVC,塑化原料_PVC.csv,C013010,4,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C013010
塑化原料,PE,塑化原料_PE.csv,C013030,3,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C013030
塑化原料,DOP,塑化原料_DOP.csv,C013040,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C013040
塑化原料,芳香烴,塑化原料_芳香烴.csv,C013050,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C013050
塑化原料,SM,塑化原料_SM.csv,C013060,3,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C013060
塑化原料,ABS,塑化原料_ABS.csv,C013070,5,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C013070
塑化原料,PS,塑化原料_PS.csv,C013080,3,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C013080
塑化原料,PP,塑化原料_PP.csv,C013110,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C013110
塑化原料,烯烴類,塑化原料_烯烴類.csv,C013130,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C013130
塑化原料,PA,塑化原料_PA.csv,C013190,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C013190
塑化原料,塑化原料,塑化原料_塑化原料.csv,C013990,14,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C013990
塑化原料,EVA,塑化原料_EVA.csv,C017083,4,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C017083
塑化製品,塑膠皮布,塑化製品_塑膠皮布.csv,C013090,10,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C013090
塑化製品,塑膠加工,塑化製品_塑膠加工.csv,C013180,11,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C013180
塑化製品,瀝青,塑化製品_瀝青.csv,C013192,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C013192
塑化製品,塑化製品,塑化製品_塑化製品.csv,C013991,18,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C013991
化學纖維,化學纖維,化學纖維_化學纖維.csv,C014010,25,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C014010
化學纖維,聚酯絲,化學纖維_聚酯絲.csv,C014011,7,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C014011
化學纖維,聚酯加工絲,化學纖維_聚酯加工絲.csv,C014012,11,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C014012
化學纖維,聚酯棉,化學纖維_聚酯棉.csv,C014013,3,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C014013
化學纖維,聚酯粒,化學纖維_聚酯粒.csv,C014014,6,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C014014
化學纖維,尼龍粒,化學纖維_尼龍粒.csv,C014031,4,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C014031
化學纖維,尼龍加工絲,化學纖維_尼龍加工絲.csv,C014032,3,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C014032
化學纖維,尼龍絲,化學纖維_尼龍絲.csv,C014033,5,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C014033
化學纖維,亞克力棉,化學纖維_亞克力棉.csv,C014050,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C014050
化學纖維,粘膠,化學纖維_粘膠.csv,C014064,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C014064
化學纖維,氨綸,化學纖維_氨綸.csv,C014065,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C014065
化學纖維,芳綸,化學纖維_芳綸.csv,C014066,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C014066
化學纖維,聚丙烯纖維,化學纖維_聚丙烯纖維.csv,C014067,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C014067
化學纖維,再生纖維,化學纖維_再生纖維.csv,C014068,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C014068
化學纖維,半合成纖維,化學纖維_半合成纖維.csv,C014069,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C014069
化學纖維,加工絲,化學纖維_加工絲.csv,C014150,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C014150
化纖原料,AN,化纖原料_AN.csv,C013120,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C013120
化纖原料,寶特瓶,化纖原料_寶特瓶.csv,C014016,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C014016
化纖原料,化纖原料,化纖原料_化纖原料.csv,C014060,11,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C014060
