股票代號,股票名稱
1307,三芳
1340,勝悅-KY
1558,伸興
1785,光洋科
1802,台玻
1813,寶利徠
2211,長榮鋼
2228,劍麟
2233,宇隆
2351,順德
2427,三商電
2432,倚天酷��-創
2614,東森
2911,麗嬰房
2924,宏太-KY
2929,淘帝-KY
3019,亞光
3284,太普高
3441,聯一光
3663,鑫科
3708,上緯投控
4154,樂威科-KY
4163,鐿鈦
4426,利勤
4534,慶騰
4536,拓凱
4551,智伸科
4564,元翎
4566,時碩工業
4569,六方科-KY
4754,國碳科
4770,上品
5205,中茂
5276,達輝-KY
5312,寶島科
5410,國眾
6151,晉倫
6509,聚和
6581,鋼聯
6593,台灣銘板
6629,泰金-KY
6671,三能-KY
6768,志強-KY
6803,崑鼎
6887,寶綠特-KY
6890,來億-KY
6894,衛司特
6923,中台
6951,青新-創
6957,裕慶-KY
6965,中傑-KY
6968,萬達寵物
6969,成信實業*-創
7610,聯友金屬-創
7715,裕山
7811,民盛
7820,立盈
8033,雷虎
8085,福華
8341,日友
8342,益張
8354,冠好
8390,金益鼎
8401,白紗科
8404,百和興業-KY
8421,旭源
8422,可寧衛*
8429,金麗-KY
8438,昶昕
8440,綠電
8442,威宏-KY
8443,阿瘦
8467,波力-KY
8473,山林水
8481,政伸
8906,花王
8921,沈氏
8932,智通*
8935,邦泰
8938,明安
8941,關中
8996,高力
9802,鈺齊-KY
9904,寶成
9910,豐泰
9929,秋雨
9930,中聯資源
9938,百和
9949,琉園
9950,萬國通
9955,佳龍
