股票代號,股票名稱
1301,台塑
1303,南亞
1316,上曜
1324,地球
1326,台化
1475,業旺
1708,東鹼
1709,和益
1710,東聯
1711,永光
1712,興農
1713,國化
1714,和桐
1717,長興
1718,中纖
1721,三晃
1722,台肥
1723,中碳
1725,元禎
1726,永記
1727,中華化
1730,花仙子
1731,美吾華
1732,毛寶
1735,日勝化
1742,台蠟
1773,勝一
1776,展宇
1907,永豐餘
3164,景岳
3171,炎洲流通
3388,崇越電
3430,奇鈦科
3708,上緯投控
4148,全宇生技-KY
4304,勝昱
4306,炎洲
4702,中美實
4706,大恭
4707,磐亞
4711,永純
4714,永捷
4716,大立
4720,德淵
4721,美琪瑪
4722,國精化
4739,康普
4741,泓瀚
4754,國碳科
4755,三福化
4764,雙鍵
4766,南寶
4767,誠泰科技
4768,晶呈科技
4770,上品
4772,台特化
4905,台聯電
5310,天剛
6506,雙邦
6508,惠光
6509,聚和
6534,正瀚-創
6585,鼎基
8354,冠好
8435,鉅邁
