股票代號,股票名稱
1303,南亞
1528,恩德
1802,台玻
1815,富喬
2313,華通
2316,楠梓電
2355,敬鵬
2367,燿華
2368,金像電
2383,台光電
2402,毅嘉
3037,欣興
3044,健鼎
3167,大量
3189,景碩
3229,晟鈦
3276,宇環
3305,昇貿
3321,同泰
3354,律勝
3390,旭軟
3645,達邁
3715,定穎投控
4526,東台
4577,達航科技
4909,新復興
4927,泰鼎-KY
4939,亞電
4958,臻鼎-KY
4989,榮科
5291,邑昇
5340,建榮
5355,佳總
5381,光譜
5439,高技
5464,霖宏
5469,瀚宇博
5475,德宏
5498,凱崴
6108,競國
6114,久威
6141,柏承
6153,嘉聯益
6156,松上
6191,精成科
6194,育富
6210,慶生
6213,聯茂
6234,高僑
6269,台郡
6274,台燿
6672,騰輝電子-KY
6835,圓裕
6924,榮惠-KY創
8021,尖點
8039,台虹
8046,南電
8074,鉅橡
8155,博智
8213,志超
8291,尚茂
8358,金居
