股票代號,股票名稱
1316,上曜
1436,華友聯
1438,三地開發
1439,雋揚
1442,名軒
1446,宏和
1449,佳和
1453,大將
1456,怡華
1463,強盛新
1532,勤美
1722,台肥
1805,寶徠
1808,潤隆
2101,南港
2107,厚生
2348,海悅
2442,新美齊
2501,國建
2505,國揚
2506,太設
2509,全坤建
2511,太子
2514,龍邦
2520,冠德
2524,京城
2527,宏璟
2528,皇普
2530,華建
2534,宏盛
2536,宏普
2537,聯上發
2538,基泰
2539,櫻花建
2542,興富發
2545,皇翔
2547,日勝生
2548,華固
2596,綠意
2611,志信
2718,全心投控
2910,統領
2923,鼎固-KY
3018,隆銘綠能
3052,夆典
3056,富華新
3188,鑫龍騰
3266,昇陽
3313,斐成
3512,皇龍
3521,台鋼建設
3703,欣陸
4113,聯上
4416,三圓
4907,富宇
5206,坤悅
5213,亞昕
5324,士開
5455,昇益
5508,永信建
5512,力麒
5514,三豐
5519,隆大
5522,遠雄
5523,豐謙
5525,順天
5529,鉅陞
5531,鄉林
5533,皇鼎
5534,長虹
6171,大城地產
6177,達麗
6186,新潤
6198,瑞築
6212,理銘
6219,富旺
6264,富裔
8404,百和興業-KY
8927,北基
9906,欣巴巴
9945,潤泰新
9946,三發地產
