股票代號,股票名稱
1103,嘉泥
1233,天仁
1259,安心
1268,漢來美食
1340,勝悅-KY
1903,士紙
2017,官田鋼
2511,太子
2611,志信
2702,華園
2704,國賓
2705,六福
2706,第一店
2707,晶華
2712,遠雄來
2722,夏都
2723,美食-KY
2726,雅茗-KY
2727,王品
2729,瓦城
2732,六角
2736,富野
2739,寒舍
2740,華軒
2748,雲品
2751,王座
2752,豆府
2753,八方雲集
2754,亞洲藏壽司
2755,揚秦
2756,聯發國際
2926,誠品生活
3050,鈺德
3252,海灣
3522,御嵿
3632,研勤
4419,皇家美食
4530,宏易
4804,大略-KY
5301,寶得利
5324,士開
5364,力麗店
5512,力麒
5531,鄉林
5701,劍湖山
5703,亞都
5704,老爺知
5905,南仁湖
6144,得利影
7705,三商餐飲
7708,全家餐飲
7723,築間
7757,金色三麥
7794,宏�硒撥s
8077,洛��
8084,巨虹
8940,新天地
