股票代號,股票名稱
1319,東陽
1339,昭輝
1503,士電
1506,正道
1512,瑞利
1521,大億
1522,堤維西
1524,耿鼎
1525,江申
1532,勤美
1536,和大
1538,正峰
1563,巧新
1568,倉佑
1586,和勤
1587,吉茂
2115,六暉-KY
2201,裕隆
2204,中華
2227,裕日車
2228,劍麟
2230,泰茂
2233,宇隆
2235,謚源
2236,百達-KY
2239,英利-KY
2241,艾姆勒
2243,宏旭-KY
2250,IKKA-KY
2254,巨鎧精密-創
3003,健和興
3005,神基
3162,精確
3226,龍鋒
3311,閎暉
3685,元創精密
4502,健信
4523,永彰
4528,江興鍛
4535,至興
4543,萬在
4551,智伸科
4557,永新-KY
4566,時碩工業
4569,六方科-KY
4581,光隆精密-KY
4943,康控-KY
5276,達輝-KY
5288,豐祥-KY
5306,桂盟
5392,能率
6235,華孚
6272,驊陞
6279,胡連
6605,帝寶
7732,金興精密
7736,虎山
8107,大億金茂
8937,合騏*
9110,越南控-DR
