股票代號,股票名稱
1503,士電
1595,川寶
2070,精湛
2305,全友
2360,致茂
2423,固緯
2459,敦吉
2464,盟立
2467,志聖
2493,揚博
3030,德律
3055,蔚華科
3093,港建*
3131,弘塑
3138,耀登
3167,大量
3178,公準
3219,倚強科
3289,宜特
3373,熱映
3402,漢科
3413,京鼎
3455,由田
3467,台灣精材
3490,單井
3498,陽程
3535,晶彩科
3551,世禾
3563,牧德
3580,友威科
3581,博磊
3583,辛耘
3587,閎康
3680,家登
4541,晟田
4542,科嶠
4577,達航科技
4949,有成精密
5353,台林
5443,均豪
5493,三聯
6125,廣運
6146,耕興
6187,萬潤
6192,巨路
6196,帆宣
6207,雷科
6208,日揚
6218,豪勉
6223,旺矽
6234,高僑
6261,久元
6425,易發
6438,迅得
6532,瑞耘
6613,朋億*
6640,均華
6654,天正國際
6658,聯策
6664,群翊
6667,信紘科
6698,旭暉應材
6706,惠特
6725,矽科宏晟
6727,亞泰金屬
6735,美達科技
6739,竹陞科技
6761,穩得
6788,華景電
6829,千附精密
6830,汎銓
6840,東研信超
6861,睿生光電
6877,鏵友益
6895,宏碩系統
6909,創控
6937,天虹
6953,家碩
7556,意德士
7631,聚賢研發-創
7703,銳澤
7704,明遠精密
7728,光焱科技
7730,暉盛-創
7734,印能科技
7751,竑騰
7769,鴻勁
7795,長廣
7810,捷創科技
7822,倍利科
7828,創新服務
8027,鈦昇
8047,星雲
8064,東捷
8091,翔名
8092,建暐
8383,千附
8455,大拓-KY
