股票代號,股票名稱
1229,聯華
1416,廣豐
2308,台達電
2359,所羅門
2371,大同
2390,云辰
2419,仲琦
2427,三商電
2453,凌群
2464,盟立
2468,華經
2471,資通
2480,敦陽科
2498,宏達電
3021,鴻名
3029,零壹
3147,大綜
3158,嘉實
3555,博士旺
3570,大塚
3664,安瑞-KY
3687,歐買尬
4953,緯軟
5201,凱衛
5202,力新
5203,訊連
5209,新鼎
5210,寶碩
5211,蒙恬
5212,凌網
5310,天剛
5403,中菲
5410,國眾
5478,智冠
6112,邁達特
6123,上奇
6140,訊達
6148,驊宏資
6163,華電網
6183,關貿
6196,帆宣
6214,精誠
6218,豪勉
6221,晉泰
6227,茂綸
6231,系微
6236,中湛
6240,松崗
6474,華豫寧
6486,互動
6516,勤崴國際
6590,普鴻
6614,資拓宏宇
6690,安�硌穈T
6697,東捷資訊
6741,91APP*-KY
6751,智聯服務
6752,叡揚
6763,綠界科技*
6776,展�眥篕�
6791,虎門科技
6811,宏�硌穈T
6865,偉康科技
6870,騰雲
6874,倍力
6902,GOGOLOOK
6906,現觀科
6910,德鴻
6925,意藍
6933,AMAX-KY
7547,碩網
7714,創泓科技
7721,微程式
7722,LINEPAY
7747,昕奇雲端
7765,中華資安
7767,仁大資訊
7823,奧義賽博-KY創
8045,達運光電
8068,全達
8099,大世科
8201,無敵
8272,全景軟體
8284,三竹
8416,實威
910861,神州-DR
911608,明輝-DR
