股票代號,股票名稱
1516,川飛
2347,聯強
2359,所羅門
2371,大同
2392,正崴
2414,精技
2430,燦坤
2436,偉詮電
2450,神腦
2459,敦吉
2493,揚博
3010,華立
3026,禾伸堂
3028,增你強
3033,威健
3036,文曄
3048,益登
3090,日電貿
3114,好德
3147,大綜
3209,全科
3213,茂訊
3224,三顧
3232,昱捷
3312,弘憶股
3360,尚立
3426,台興
3444,利機
3528,安馳
3537,堡達
3555,博士旺
3597,映興
3686,達能
3702,大聯大
3709,鑫聯大投控
5386,青雲
5434,崇越
5452,佶優
6113,亞矽
6114,久威
6118,建達
6123,上奇
6136,富爾特
6148,驊宏資
6154,順發
6170,統振
6189,豐藝
6192,巨路
6227,茂綸
6259,百徽
6265,方土昶
6270,倍微
6281,全國電
6432,今展科
6474,華豫寧
6761,穩得
6776,展�眥篕�
6908,宏�砦C戲-創
6967,汎瑋材料
8032,光菱
8043,蜜望實
8067,志旭
8068,全達
8070,長華*
8071,能率網通
8072,陞泰
8084,巨虹
8096,擎亞
8112,至上
8455,大拓-KY
