股票代號,股票名稱
1336,台翰
1471,首利
1569,濱川
1582,信錦
1586,和勤
2059,川湖
2301,光寶科
2308,台達電
2317,鴻海
2328,廣宇
2354,鴻準
2385,群光
2392,正崴
2402,毅嘉
2413,環科
2415,錩新
2420,新巨
2431,聯昌
2451,創見
2457,飛宏
2460,建通
2462,良得電
2474,可成
2476,鉅祥
2477,美隆電
2483,百容
2488,漢平
3002,歐格
3003,健和興
3005,神基
3011,今皓
3013,晟銘電
3015,全漢
3017,奇鋐
3021,鴻名
3023,信邦
3032,偉訓
3043,科風
3058,立德
3067,全域
3078,僑威
3092,鴻碩
3095,及成
3114,好德
3135,凌航
3191,雲嘉南
3207,耀勝
3217,優群
3224,三顧
3230,錦明
3260,威剛
3285,微端
3290,東浦
3294,英濟
3296,勝德
3308,聯德
3310,佳穎
3322,建舜電
3325,旭品
3332,幸康
3357,臺慶科
3376,新日興
3432,台端
3465,進泰電子
3484,崧騰
3492,長盛
3501,維熹
3508,位速
3511,矽瑪
3516,亞帝歐
3518,柏騰
3520,華盈
3526,凡甲
3533,嘉澤
3540,曜越
3543,州巧
3548,兆利
3550,聯穎
3593,力銘
3597,映興
3605,宏致
3607,谷崧
3609,三一東林
3617,碩天
3628,盈正
3646,艾恩特
3665,貿聯-KY
3679,新至陞
3684,榮昌
3689,湧德
3693,營邦
3710,連展投控
4304,勝昱
4545,銘鈺
4912,聯德控股-KY
4924,欣厚-KY
4935,茂林-KY
4942,嘉彰
4952,凌通
4967,十銓
4973,廣穎
4999,鑫禾
5223,安力-KY
5225,東科-KY
5230,雷笛克光學
5243,乙盛-KY
5284,jpp-KY
5289,宜鼎
5309,系統電
5356,協益
5392,能率
5426,振發
5457,宣德
5460,同協
5465,富驊
5488,松普
6109,亞元
6115,鎰勝
6117,迎廣
6126,信音
6133,金橋
6134,萬旭
6156,松上
6158,禾昌
6185,幃翔
6190,萬泰科
6197,佳必琪
6201,亞弘電
6203,海韻電
6205,詮欣
6207,雷科
6220,岳豐
6259,百徽
6272,驊陞
6276,安鈦克
6279,胡連
6282,康舒
6284,佳邦
6290,良維
6291,沛亨
6292,迅德
6409,旭隼
6412,群電
6418,詠昇
6442,光聖
6584,南俊國際
6698,旭暉應材
6715,嘉基
6792,詠業
6805,富世達
6821,聯寶
6835,圓裕
6913,鴻呈
6967,汎瑋材料
7744,崴寶
7792,安葆
8071,能率網通
8085,福華
8088,品安
8093,保銳
8103,瀚荃
8109,博大
8131,福懋科
8147,正淩
8210,勤誠
8271,宇瞻
8277,商丞
8299,群聯
8410,森田
8431,匯鑽科
8499,鼎炫-KY
9136,巨騰-DR
