year,concept_name,file,stock_count,status,source_platforms,theme_source_platform,theme_source_title,theme_source_url
2020,防疫,data\concept_stocks_by_year\2020\防疫.csv,8,ok,CMoney,Anue鉅亨,〈2020封關〉十大飆股出爐 防疫族群占4席 美德醫瘋漲2300%奪飆漲王 | 鉅亨網 - 台股新聞,https://news.cnyes.com/news/id/4555631
2020,遠距教學,data\concept_stocks_by_year\2020\遠距教學.csv,8,ok,CMoney,工商時報,12檔遠距辦公概念股 吸睛 - 日報 - 工商時報,https://www.ctee.com.tw/news/20200528701025-439901
2020,居家辦公(WFH),data\concept_stocks_by_year\2020\居家辦公(WFH).csv,8,ok,CMoney,,,
2020,宅經濟,data\concept_stocks_by_year\2020\宅經濟.csv,8,ok,CMoney,,,
2020,Chromebook,data\concept_stocks_by_year\2020\Chromebook.csv,8,ok,CMoney,,,
2020,電商,data\concept_stocks_by_year\2020\電商.csv,8,ok,CMoney,,,
2020,物流,data\concept_stocks_by_year\2020\物流.csv,8,ok,CMoney,,,
2020,線上遊戲,data\concept_stocks_by_year\2020\線上遊戲.csv,8,ok,CMoney,,,
2020,5G,data\concept_stocks_by_year\2020\5G.csv,8,ok,CMoney,,,
2020,O-RAN,data\concept_stocks_by_year\2020\O-RAN.csv,8,ok,CMoney,,,
2020,WiFi 6,data\concept_stocks_by_year\2020\WiFi 6.csv,8,ok,CMoney,,,
2020,Mini LED,data\concept_stocks_by_year\2020\Mini LED.csv,8,ok,CMoney,,,
2020,PCB,data\concept_stocks_by_year\2020\PCB.csv,8,ok,CMoney,,,
2020,IC載板,data\concept_stocks_by_year\2020\IC載板.csv,4,ok,CMoney,,,
2020,被動元件,data\concept_stocks_by_year\2020\被動元件.csv,8,ok,CMoney,,,
2020,電源供應器,data\concept_stocks_by_year\2020\電源供應器.csv,8,ok,CMoney,,,
2020,生技醫療,data\concept_stocks_by_year\2020\生技醫療.csv,8,ok,CMoney,,,
2020,保健食品,data\concept_stocks_by_year\2020\保健食品.csv,8,ok,CMoney,,,
2020,旅遊,data\concept_stocks_by_year\2020\旅遊.csv,8,ok,CMoney,,,
2021,電動車,data\concept_stocks_by_year\2021\電動車.csv,8,ok,CMoney,,,
2021,Tesla特斯拉,data\concept_stocks_by_year\2021\Tesla特斯拉.csv,8,ok,CMoney,,,
2021,MIH,data\concept_stocks_by_year\2021\MIH.csv,8,ok,CMoney,,,
2021,鴻海MIH電動車平台,data\concept_stocks_by_year\2021\鴻海MIH電動車平台.csv,8,ok,CMoney,,,
2021,元宇宙,data\concept_stocks_by_year\2021\元宇宙.csv,8,ok,CMoney,,,
2021,虛擬貨幣,data\concept_stocks_by_year\2021\虛擬貨幣.csv,8,ok,CMoney,,,
2021,比特幣挖礦,data\concept_stocks_by_year\2021\比特幣挖礦.csv,8,ok,CMoney,,,
2021,碳權,data\concept_stocks_by_year\2021\碳權.csv,8,ok,CMoney,,,
2021,風力發電,data\concept_stocks_by_year\2021\風力發電.csv,8,ok,CMoney,,,
2021,太陽能,data\concept_stocks_by_year\2021\太陽能.csv,8,ok,CMoney,,,
2021,氫燃料電池,data\concept_stocks_by_year\2021\氫燃料電池.csv,8,ok,CMoney,,,
